tm,stn,ta,rn,vs
202201151900,236,2.4,-9.0,1577
202201151900,238,2.6,-9.0,1708
202201151900,239,3.1,-9.0,2738
202201151900,243,4.1,-9.0,2629
202201151900,244,3.1,-9.0,1900
202201151900,245,4.7,-9.0,2000
202201151900,247,4.4,-9.0,1772
202201151900,248,2.5,-9.0,2000
202201151900,251,3.5,-9.0,4869
202201151900,252,3.2,-9.0,923
202201151900,253,4.7,-9.0,4106
202201151900,254,2.7,-9.0,664
202201151900,255,4.2,-9.0,5000
202201151900,257,3.0,-9.0,1222
202201151900,258,3.3,-9.0,4322
202201151900,259,2.6,-9.0,1545
202201151900,260,1.2,-9.0,2000
202201151900,261,0.7,-9.0,1843
202201151900,262,3.6,-9.0,2000
202201151900,263,0.0,-9.0,2469
202201151900,264,5.0,-9.0,4254
202201151900,266,5.8,-9.0,1053
202201151900,268,4.9,-9.0,2000
202201151900,271,2.0,-9.0,1559
202201151900,272,2.1,-9.0,2000
202201151900,273,2.0,-9.0,3856
202201151900,276,-1.3,-9.0,3635
202201151900,277,3.3,-9.0,2000
202201151900,278,0.6,-9.0,2000
202201151900,279,1.3,-9.0,1953
202201151900,281,0.9,-9.0,3875
202201151900,283,2.9,-9.0,2833
202201151900,284,3.1,-9.0,2000
202201151900,285,1.8,-9.0,1991
202201151900,288,2.4,-9.0,4554
202201151900,289,3.5,-9.0,3802
202201151900,294,3.2,-9.0,1569
202201151900,295,6.2,-9.0,2000
202202150800,90,-1.9,-9.0,1857
202202150800,93,-4.5,-9.0,1200
202202150800,95,-7.5,-9.0,4461
202202150800,98,-6.7,-9.0,3252
202202150800,99,-7.5,-9.0,3608
202202150800,100,-8.9,-9.0,255
202202150800,101,-3.6,-9.0,1155
202202150800,102,-5.3,-9.0,3540
202202150800,104,-1.0,-9.0,1707
202202150800,105,-0.8,-9.0,1221
202202150800,106,0.5,-9.0,2130
202202150800,108,-6.1,-9.0,1649
202202150800,112,-5.8,-9.0,961
202202150800,114,-3.6,-9.0,180
202202150800,115,1.7,-9.0,1830
202202150800,119,-4.5,-9.0,1612
202202150800,121,-2.9,-9.0,868
202202150800,127,-3.8,-9.0,1100
202202150800,129,-3.1,-9.0,921
202202150800,130,-0.9,-9.0,2449
202202150800,131,-2.8,-9.0,1100
202202150800,133,-2.0,-9.0,1511
202202150800,135,-3.1,-9.0,2127
202202150800,136,-2.3,-9.0,1371
202202150800,137,-2.3,-9.0,1374
202202150800,138,0.2,-9.0,1887
202202150800,140,-1.3,-9.0,1235
202202150800,143,0.1,-9.0,1974
202202150800,146,-1.6,-9.0,1556
202202150800,152,1.1,-9.0,2000
202202150800,155,0.1,-9.0,1975
202202150800,156,0.4,-9.0,1736
202202150800,159,1.4,-9.0,3542
202202150800,162,1.9,-9.0,1701
202202150800,165,0.5,-9.0,2000
202202150800,168,0.7,-9.0,2000
202202150800,169,1.3,-9.0,2244
202202150800,170,1.7,-9.0,2000
202202150800,172,-1.3,-9.0,357
202202150800,174,-0.6,-9.0,1237
202202150800,177,-2.5,-9.0,2208
202202150800,181,-3.1,-9.0,543
202202150800,184,3.9,-9.0,2808
202202150800,185,3.4,-9.0,2000
202202150800,188,3.1,-9.0,2000
202202150800,189,5.0,-9.0,1152
202202150800,192,-3.3,-9.0,910
202202150800,201,-6.4,-9.0,2727
202202150800,202,-3.7,-9.0,996
202202150800,203,-4.1,-9.0,1031
202202150800,211,-3.5,-9.0,1774
202202150800,212,-3.6,-9.0,2243
202202150800,216,-7.4,-9.0,1332
202202150800,217,-4.0,-9.0,414
202202150800,221,-4.6,-9.0,723
202202150800,226,-3.0,-9.0,1339
202202150800,232,-3.3,-9.0,701
202202150800,235,-1.8,-9.0,1831
202202150800,236,-1.7,-9.0,1461
202202150800,238,-2.7,-9.0,930
202202150800,239,-2.8,-9.0,1814
202202150800,243,-0.6,-9.0,2102
202202150800,244,-2.7,-9.0,185
202202150800,245,-1.3,-9.0,988
202202150800,247,-1.5,-9.0,722
202202150800,248,-3.5,-9.0,177
